station,target,changes,stops
Zittau,Zittau,0,0
Gundelsdorf,Leipzig Hbf,0,16
Wolfsgefärth,Leipzig-Knauthain,0,10
Blumenau,Chemnitz Hbf,0,12
Pommritz,Löbau(Sachs),0,0
Muldenhütten,Freiberg(Sachs),0,0
Annaberg-Buchholz Mitte,Annaberg-Buchholz Mitte,0,0
Marienhafe,Leipzig/Halle Flughafen,0,16
Glashütte(Sachs),Dresden-Zschachwitz,1,8
Boguszow Gorce,Görlitz,0,24
Valdek,Dresden Hbf,1,15
Markkleeberg Nord,Markkleeberg Nord,0,0
Decin-Priper,Dresden Hbf,1,2
Dahlen(Sachs),Oschatz,0,0
Chemnitz Rösslerstraße,Chemnitz Rösslerstraße,0,0
Bienenmühle,Freiberg(Sachs),0,6
Reichenbach(Vogtl) ob Bf,Reichenbach(Vogtl) ob Bf,0,0
Bad Elster,Oelsnitz(Vogtl),0,2
Delmenhorst,Leipzig/Halle Flughafen,0,8
Wahlitz,Delitzsch unt Bf,0,7
Lauenstein(Sachs),Dresden-Zschachwitz,1,11
Kurort Jonsdorf Hst,Zittau Vorstadt,0,3
Neustadt(Orla),Leipzig-Knauthain,0,12
Glauchau(Sachs),Glauchau(Sachs),0,0
Hetzdorf(Flöhatal),Chemnitz Hbf,0,3
Chemnitz Technopark,Chemnitz Technopark,0,0
Varnsdorf stare nadr,Zittau,0,1
Hirschfelde,Zittau,0,0
Mühlbach(Pirna),Dresden-Zschachwitz,1,5
Kiel Hbf,Leipzig Hbf,0,5
Leipzig Hbf (tief),Leipzig Hbf (tief),0,0
Orlamünde,Leipzig Hbf,0,6
Drebkau,Großenhain Cottb Bf,0,6
Dresden-Reick,Dresden-Reick,0,0
Falkenberg(Elster),Torgau,0,1
Leipzig-Miltitz,Leipzig-Miltitz,0,0
Biederitz,Delitzsch unt Bf,0,7
Gera-Langenberg,Leipzig-Knauthain,0,7
Hermsdorf(Dresden),Dresden-Klotzsche,0,2
Bad Kösen,Leipzig Hbf,0,2
Rybnica,Görlitz,0,13
Leipzig-Wahren,Leipzig-Wahren,0,0
Walbrzych Glowny,Görlitz,0,26
Radeburg,Lößnitzgrund,0,7
Barthmühle,Plauen(Vogtl) Mitte,0,0
Großenhain Cottb Bf,Großenhain Cottb Bf,0,0
Berlin Hbf (tief),Dresden-Neustadt,0,1
Radebeul-Kötzschenbroda,Radebeul-Kötzschenbroda,0,0
Güterglück,Delitzsch unt Bf,0,6
Mitteloelsnitz,Oelsnitz Bahnhofstraße,0,0
Schöna,Pirna,0,7
Schöneck(Vogtl) Ferienpark,Falkenstein(Vogtl),0,3
Luban Sl.,Görlitz,0,5
Chemnitz-Altchemnitz,Chemnitz-Altchemnitz,0,0
Wiesa(Erzgeb),Annaberg-Buchholz unterer Bf,0,0
Warmbad,Annaberg-Buchholz unterer Bf,0,3
Weida Mitte,Leipzig-Knauthain,0,11
Hirschfelde Markt,Zittau,0,0
Stadt Wehlen(Sachs),Pirna,0,1
Saalfeld(Saale),Leipzig Hbf,0,3
Wien Meidling,Dresden Hbf,0,7
Falkenau(Sachs)Süd,Chemnitz-Hilbersdorf,0,2
Mikulasovice dolni nadrazi,Dresden Hbf,1,9
Niederschlottwitz,Dresden-Zschachwitz,1,6
Cottbus Hbf,Weißwasser(Oberlausitz),0,4
Kaulsdorf(Saale),Leipzig Hbf,0,9
Rodleben,Delitzsch unt Bf,0,4
Jena Saalbf,Leipzig Hbf,0,4
Jeßnitz(Anh),Delitzsch unt Bf,0,2
Stollberg(Sachs),Stollberg(Sachs),0,0
Dresden Hbf,Dresden Hbf,0,0
Ellwangen,Leipzig Hbf,0,7
Eilenburg,Eilenburg,0,0
Sättelstädt,Leipzig-Miltitz,0,20
Bad Sulza,Leipzig Hbf,0,6
Zwickau(Sachs)Hbf,Zwickau(Sachs)Hbf,0,0
Dresden-Stetzsch,Dresden-Stetzsch,0,0
Oelsnitz(Vogtl),Oelsnitz(Vogtl),0,0
Halle Dessauer Brücke,Schkeuditz West,0,6
Gera Hbf,Glauchau(Sachs),0,0
Mittweida,Mittweida,0,0
Wutha,Leipzig-Miltitz,0,22
Bad Zwischenahn,Leipzig/Halle Flughafen,0,11
Jerzmanki,Görlitz,0,1
Dresden Bischofsplatz,Dresden Bischofsplatz,0,0
Emden Außenhafen,Leipzig/Halle Flughafen,0,16
Zwota-Zechenbach,Falkenstein(Vogtl),1,5
Flöha,Chemnitz Hbf,0,0
Wünschendorf Nord,Plauen(Vogtl) Mitte,0,9
Dresden Mitte,Dresden Mitte,0,0
Chemnitz Mitte,Chemnitz Mitte,0,0
Hainichen,Chemnitz-Hilbersdorf,0,5
Helmstedt,Leipzig/Halle Flughafen,0,3
Bischofswerda,Bautzen,0,0
Leipzig Miltitzer Allee,Leipzig Miltitzer Allee,0,0
Neumühle(Elster),Plauen(Vogtl) Mitte,0,6
Limmritz(Sachs),Döbeln Hbf,0,0
Nürnberg Hbf,Leipzig Hbf,0,2
Niesky,Niesky,0,0
Chemnitz Schneeberger Straße,Chemnitz Schneeberger Straße,0,0
Thermalbad Wiesenbad,Annaberg-Buchholz unterer Bf,0,1
Burgstädt,Chemnitz Hbf,0,0
Vaihingen(Enz),Leipzig Hbf,0,12
Leipzig-Sellerhausen,Leipzig-Sellerhausen,0,0
Dresden-Friedrichstadt,Dresden-Friedrichstadt,0,0
Bärnsdorf,Lößnitzgrund,0,4
Neustadt(Sachs),Pirna-Copitz Nord,0,6
Markkleeberg-Gaschwitz,Markkleeberg-Gaschwitz,0,0
Gryfow Sl.,Görlitz,0,8
Bergwitz,Delitzsch unt Bf,0,6
Ebing,Leipzig Hbf,0,26
Markkleeberg-Großstädteln,Markkleeberg-Großstädteln,0,0
Crossen a d Elster,Leipzig-Knauthain,0,6
Zoblitz,Löbau(Sachs),0,0
Leipzig Völkerschlachtdenkmal,Leipzig Völkerschlachtdenkmal,0,0
Leipzig MDR,Leipzig MDR,0,0
Finsterwalde(Niederlausitz),Torgau,0,3
Dittersbach,Chemnitz-Hilbersdorf,0,4
Burgkemnitz,Delitzsch unt Bf,0,3
Geithain,Leipzig Hbf,0,1
Chemnitz Schillerplatz,Chemnitz Schillerplatz,0,0
Peißen,Delitzsch unt Bf,0,4
Freital-Hainsberg,Freital-Hainsberg,0,0
Hartmannmühle,Dresden-Zschachwitz,1,12
Jesewitz(Leipzig),Eilenburg,0,0
Goßdorf-Kohlmühle,Dresden Hbf,1,3
Leipzig-Möckern,Leipzig-Möckern,0,0
Krzewina Zgorzelecka,Görlitz-Weinhübel,0,1
Dolni Zleb zast.,Dresden Hbf,1,3
Kurort Rathen,Pirna,0,2
Chemnitz Süd,Chemnitz Süd,0,0
Porstendorf,Leipzig Hbf,0,4
Köln Hbf,Leipzig/Halle Flughafen,0,14
Zirovice-Seniky,Oelsnitz(Vogtl),0,8
Tautenhain,Leipzig-Liebertwolkwitz,0,7
Erlangen,Leipzig Hbf,0,1
Prösen Ost,Großenhain Cottb Bf,0,2
Triptis,Leipzig-Knauthain,0,11
Pößneck ob Bf,Leipzig-Knauthain,0,13
Weixdorf Bad,Dresden-Klotzsche,0,0
Plauen(Vogtl) ob Bf (Busbahnhof),Plauen(Vogtl) ob Bf (Busbahnhof),0,0
Chemnitz Hbf (Bahnhofstraße),Chemnitz Hbf (Bahnhofstraße),0,0
Plauen(Vogtl) Mitte,Plauen(Vogtl) Mitte,0,0
Bagenz,Weißwasser(Oberlausitz),0,2
Anklam,Leipzig Hbf,0,8
Königsbrück,Dresden-Klotzsche,0,7
Würzburg Hbf,Leipzig Hbf,0,2
Clausnitz,Freiberg(Sachs),0,5
Muldenstein,Delitzsch unt Bf,0,2
Antonsthal,Schwarzenberg Hp,0,1
Leipzig-Knauthain,Leipzig-Knauthain,0,0
Neumark(Sachs),Reichenbach(Vogtl) ob Bf,0,0
Olszyna Lubanska,Görlitz,0,6
Nove Zamky,Dresden Hbf,0,8
Obercarsdorf,Dippoldiswalde,0,1
Neusalza-Spremberg,Zittau,0,3
Michelau(Oberfr),Leipzig Hbf,0,21
Zahna,Delitzsch unt Bf,0,11
Berga(Elster),Plauen(Vogtl) Mitte,0,7
Halle Zoo,Schkeuditz West,0,7
Markkleeberg,Markkleeberg,0,0
Großkugel,Schkeuditz West,0,0
Oßmannstedt,Leipzig-Miltitz,0,12
Frohburg,Borna(Leipzig),0,2
Kötzschau,Leipzig-Miltitz,0,2
Falkenau(Sachs)Hp,Chemnitz Hbf,0,2
Elsterwerda,Dresden-Neustadt,0,0
Chemnitz-Schönau,Chemnitz-Schönau,0,0
Vieselbach,Leipzig-Miltitz,0,13
Lichtenstein Hartensteiner Straße,Lichtenstein Hartensteiner Straße,0,0
Boleslawiec,Görlitz,0,8
Lauter(Sachs),Schwarzenberg-Neuwelt,0,0
Lehndorf(Altenburg),Crimmitschau,0,2
Hennersdorf(Sachs),Chemnitz Hbf,0,4
Schirgiswalde-Kirschau,Radeberg,0,4
Borna(Leipzig),Borna(Leipzig),0,0
Uhsmannsdorf,Weißwasser(Oberlausitz),0,2
Ubocze,Görlitz,0,7
Chotyne,Zittau,0,1
Fulda,Leipzig Hbf,0,2
Lengefeld-Rauenstein,Chemnitz Hbf,0,9
Mulda(Sachs),Freiberg(Sachs),0,3
Schüptitz,Leipzig-Knauthain,0,13
Niederoderwitz,Zittau,0,1
Schmiedeberg-Naundorf,Dippoldiswalde,0,2
Varnsdorf mlékárna,Zittau,0,2
Ingolstadt Hbf,Leipzig Hbf,0,3
Stollberg Schlachthofstraße,Stollberg Schlachthofstraße,0,0
Apolda,Leipzig Hbf,0,7
Dresden Grenzstraße,Dresden Grenzstraße,0,0
Dresden Freiberger Straße,Dresden Freiberger Straße,0,0
Borsdorf(Sachs),Leipzig-Engelsdorf,0,0
Prösen West,Riesa,0,3
Leipzig-Paunsdorf,Leipzig-Paunsdorf,0,0
Hoyerswerda,Hoyerswerda,0,0
Leipzig Mockauer Straße,Leipzig Mockauer Straße,0,0
Heidenau-Großsedlitz,Pirna,0,0
Halle Messe,Schkeuditz West,0,3
Großharthau,Radeberg,0,1
Leipzig/Halle Flughafen,Leipzig/Halle Flughafen,0,0
Seifersdorf,Dippoldiswalde,0,1
Szob,Dresden Hbf,0,10
Dessau Hbf,Delitzsch unt Bf,0,2
Lobstädt,Borna(Leipzig),0,0
Mechterstädt,Leipzig-Miltitz,0,19
Neumark(Sachs) Ladestraße,Werdau,0,0
Böhlen Werke,Markkleeberg,0,1
Schweikershain,Mittweida,0,1
Leipzig-Heiterblick,Leipzig-Heiterblick,0,0
Friedewald(Kr Dresden) Bad,Lößnitzgrund,0,1
Forchheim(Oberfr),Leipzig Hbf,0,29
Naumburg(Saale)Hbf,Leipzig Hbf,0,0
Mikulowa,Görlitz,0,2
Jedrzychowice,Görlitz,0,2
Neupetershain,Großenhain Cottb Bf,0,5
Großsteinberg,Grimma ob Bf,0,0
Stolpen,Pirna-Copitz Nord,0,3
Oederan,Freiberg(Sachs),0,2
Bennewitz,Wurzen,0,0
Fröttstädt,Leipzig-Miltitz,0,18
Bad Staffelstein,Leipzig Hbf,0,23
Oberoderwitz Oberdorf,Zittau,0,3
Leipzig Essener Straße,Leipzig Essener Straße,0,0
Augsburg Hbf,Leipzig Hbf,0,5
Kahla(Thür),Leipzig Hbf,0,5
Grünbach(Vogtl),Falkenstein(Vogtl),0,0
Ponitz,Crimmitschau,0,0
Stendal Hbf,Leipzig Hbf,0,3
Neudorf(Erzgeb),Annaberg-Buchholz Süd,1,3
Bochum Hbf,Leipzig/Halle Flughafen,0,11
Greppin,Delitzsch unt Bf,0,1
Lippendorf Kraftwerk/Wendestelle,Borna(Leipzig),0,2
Berlin-Spandau,Leipzig Hbf,0,2
Neustrelitz Hbf,Dresden-Neustadt,0,4
Freital-Potschappel,Freital-Potschappel,0,0
Limbach(Vogtl),Reichenbach(Vogtl) ob Bf,0,1
Ansbach,Leipzig Hbf,0,5
St Egidien,Hohenstein-Ernstthal,0,0
Görlitz-Rauschwalde,Görlitz-Rauschwalde,0,0
Tomaszow Boleslawiecki,Görlitz,0,9
Klingenberg-Colmnitz,Freiberg(Sachs),0,2
Gütersloh Hbf,Leipzig/Halle Flughafen,0,8
Leipzig Hbf,Leipzig Hbf,0,0
Pönitz(Leipzig),Eilenburg,0,1
"Bärenstein(b Glashütte, Sachs)",Dresden-Zschachwitz,1,10
Ottendorf(Mittweida),Chemnitz Kinderwaldstätte,0,1
Taubenheim(Spree),Zittau,0,4
Niederdorf(Erzgeb),Stollberg Schlachthofstraße,0,0
Zschopau,Annaberg-Buchholz unterer Bf,0,6
Dresden-Niedersedlitz,Dresden-Niedersedlitz,0,0
Chemnitz Gustav-Freytag-Straße,Chemnitz Gustav-Freytag-Straße,0,0
Neukieritzsch,Borna(Leipzig),0,1
Warnemünde,Dresden-Neustadt,0,7
Rentzschmühle,Plauen(Vogtl) Mitte,0,1
Weißes Roß,Lößnitzgrund,0,0
Syrau,Plauen(Vogtl) ob Bf,0,0
Zeithain,Riesa,0,0
Belgershain,Leipzig-Liebertwolkwitz,0,0
Zschortau,Delitzsch unt Bf,0,0
Neukirchen-Wyhra,Borna(Leipzig),0,1
Leipzig-Engelsdorf,Leipzig-Engelsdorf,0,0
Zgorzelec Miasto,Görlitz,0,1
Kurort Altenberg(Erzgebirge),Dresden-Zschachwitz,1,14
Fährbrücke,Bad Schlema,0,1
Schwarzenberg(Erzg),Schwarzenberg(Erzg),0,0
Moritzburg,Lößnitzgrund,0,2
Leipzig Werkstättenstraße,Leipzig Werkstättenstraße,0,0
Senftenberg,Großenhain Cottb Bf,0,3
Niederau,Coswig(b Dresden),0,1
Meißen,Meißen,0,0
Kamenz(Sachs),Kamenz(Sachs),0,0
Demitz-Thumitz,Bautzen,0,1
Olbernhau West,Chemnitz Hbf,0,13
Schärding,Leipzig Hbf,0,9
Lichtenstein Ernst-Schneller-Siedlung,Lichtenstein Ernst-Schneller-Siedlung,0,0
Zeutsch,Leipzig Hbf,0,7
Chemnitz Küchwald,Chemnitz Küchwald,0,0
Rechenberg,Freiberg(Sachs),0,8
Steinpleis,Werdau,0,0
Zschopau Ost,Annaberg-Buchholz unterer Bf,0,7
Unterloquitz,Leipzig Hbf,0,10
Lauta(Nl),Hoyerswerda,0,1
Lohmen,Pirna-Copitz Nord,0,0
Zwickau Stadthalle,Zwickau Stadthalle,0,0
Grobau,Plauen(Vogtl) ob Bf,0,4
Schwarzkollm,Hoyerswerda,0,0
Hundsgrün,Oelsnitz(Vogtl),0,0
Reifland-Wünschendorf,Chemnitz Hbf,0,8
Schleife,Weißwasser(Oberlausitz),0,0
Greiz,Plauen(Vogtl) Mitte,0,5
Johanngeorgenstadt,Schwarzenberg Hp,0,4
Petergrube,Borna(Leipzig),0,0
Bad Dürrenberg,Leipzig Hbf,0,1
Brno hl.n.,Dresden Hbf,0,4
Weida Altstadt,Leipzig-Knauthain,0,12
Freiberg(Sachs),Freiberg(Sachs),0,0
Zwickau-Schedewitz,Zwickau-Schedewitz,0,0
Markranstädt,Leipzig-Miltitz,0,0
Deutzen,Markkleeberg,0,3
Klitten,Niesky,0,2
Minden(Westf),Leipzig/Halle Flughafen,0,5
Kraslice,Falkenstein(Vogtl),1,7
Kyhna,Delitzsch unt Bf,0,0
Niederbobritzsch,Freiberg(Sachs),0,1
Witkow Sl.,Görlitz,0,22
Bad Hersfeld,Leipzig Hbf,0,2
Frankfurt(Main)Hbf,Leipzig Hbf,0,2
Klaffenbach Hp,Chemnitz Friedrichstraße,0,0
Frantiskovy Lazne,Oelsnitz(Vogtl),0,9
Hähnichen,Weißwasser(Oberlausitz),0,1
Berlin Südkreuz,Dresden-Neustadt,0,0
Braunsdorf-Lichtenwalde,Chemnitz-Hilbersdorf,0,1
Bad Lausick,Leipzig Hbf,0,0
Reußen,Delitzsch unt Bf,0,3
Leipzig-Plagwitz,Leipzig-Plagwitz,0,0
Narsdorf,Chemnitz Hbf,0,1
Arnsdorf(Dresden),Radeberg,0,0
Lasow,Görlitz,0,3
Gräfenhainichen,Delitzsch unt Bf,0,4
Crimmitschau,Crimmitschau,0,0
Bärenhecke-Johnsbach,Dresden-Zschachwitz,1,9
Niedergörsdorf,Delitzsch unt Bf,0,13
Bruck/Mur,Dresden Hbf,0,12
Hopfgarten(Sachs),Leipzig-Liebertwolkwitz,0,6
Oberholz,Leipzig-Liebertwolkwitz,0,1
Loitsch-Hohenleuben,Leipzig-Knauthain,0,13
Chemnitz Annenstraße,Chemnitz Annenstraße,0,0
Silberstraße,Zwickau-Schedewitz,0,2
Hagenwerder,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,0
Plauen(Vogtl)-Straßberg,Plauen(Vogtl)-Straßberg,0,0
Glaubitz(Riesa),Riesa,0,0
Plauen(Vogtl) ob Bf,Plauen(Vogtl) ob Bf,0,0
Eilenburg Ost,Eilenburg Ost,0,0
Grüna(Sachs)Hp,Chemnitz-Siegmar,0,0
