station,target,changes,stops
Chemnitz Lothringer/Elsasser Str.,Chemnitz Lothringer/Elsasser Str.,0,0
Fürth(Bay)Hbf,Leipzig Hbf,0,3
Chemnitz Scheffelstraße,Chemnitz Scheffelstraße,0,0
Chemnitz Kinderwaldstätte,Chemnitz Kinderwaldstätte,0,0
Schkeuditz West,Schkeuditz West,0,0
Oelsnitz Bahnhofstraße,Oelsnitz Bahnhofstraße,0,0
St.Pölten Hbf,Leipzig Hbf,0,11
Zwickau-Pölbitz,Zwickau-Pölbitz,0,0
Halle Wohnstadt Nord,Schkeuditz West,0,8
Lipova u Sluknova,Dresden Hbf,1,10
Coburg,Leipzig Hbf,0,1
Dresden Industriegelände,Dresden Industriegelände,0,0
Falkenstein(Vogtl),Falkenstein(Vogtl),0,0
Leipzig-Connewitz,Leipzig-Connewitz,0,0
Leipzig-Leutzsch,Leipzig-Leutzsch,0,0
Gommern,Delitzsch unt Bf,0,6
Mockrehna,Torgau,0,0
Legnica,Görlitz,0,14
Zwotental,Falkenstein(Vogtl),0,4
Norden,Leipzig/Halle Flughafen,0,17
Weischlitz,Plauen(Vogtl)West,0,0
Cossebaude,Dresden-Stetzsch Am Urnenfeld,0,0
Rackwitz(Leipzig),Leipzig Messe,0,0
Radebeul-Naundorf Friedrich-List-Straße,Radebeul-Naundorf Friedrich-List-Straße,0,0
Marciszow,Görlitz,0,20
Liberec,Zittau,0,2
Chemnitz Rosenbergstraße,Chemnitz Rosenbergstraße,0,0
Frankenstein(Sachs),Freiberg(Sachs),0,1
Mücka,Niesky,0,1
Leipzig-Stötteritz,Leipzig-Stötteritz,0,0
Waldheim,Mittweida,0,2
Niederwiesa,Chemnitz Hbf,0,0
Stuttgart Hbf,Leipzig Hbf,0,4
Leipzig-Gohlis,Leipzig-Gohlis,0,0
Erfurt-Bischleben,Leipzig-Miltitz,0,14
Obervogelgesang,Pirna,0,0
Salzwedel,Leipzig Hbf,0,3
Jelenia Gora,Görlitz,0,15
Wegliniec,Görlitz,0,5
Hohenstein-Ernstthal,Hohenstein-Ernstthal,0,0
Weißwasser(Oberlausitz),Weißwasser(Oberlausitz),0,0
Praha hl.n.,Dresden Hbf,0,4
Großschönau(Sachs),Zittau,0,0
Dresden-Strehlen,Dresden-Strehlen,0,0
Straubing,Leipzig Hbf,0,6
Elsterwerda-Biehla,Großenhain Cottb Bf,0,4
Erlabrunn(Erzgeb),Schwarzenberg Hp,0,3
Bautzen,Bautzen,0,0
Neukirchen-Wyhra An der Schanze,Borna(Leipzig),0,1
Seitschen,Bautzen,0,0
Pforzheim Hbf,Leipzig Hbf,0,14
Dresden-Trachau,Dresden-Trachau,0,0
Kretscham-Rothensehma,Annaberg-Buchholz Süd,1,5
Hohenleuben,Leipzig-Knauthain,0,12
Steinpleis Post,Werdau,0,0
Erfurt Hbf,Leipzig Hbf,0,0
Treuen,Auerbach(V) ob Bf,0,0
Peine,Leipzig/Halle Flughafen,0,4
Plessa,Hoyerswerda,0,5
Rebiszow,Görlitz,0,10
Lößnitzgrund,Lößnitzgrund,0,0
Meißen Altstadt,Meißen Altstadt,0,0
Altmittweida,Mittweida,0,0
Chemnitz Roter Turm,Chemnitz Roter Turm,0,0
Oppurg,Leipzig-Knauthain,0,13
Glauchau-Schönbörnchen,Glauchau-Schönbörnchen,0,0
Großpösna,Leipzig-Liebertwolkwitz,0,0
Treben-Lehma,Crimmitschau,0,4
Chemnitz Bernsbachplatz,Chemnitz Bernsbachplatz,0,0
Chemnitz Zentralhaltestelle,Chemnitz Zentralhaltestelle,0,0
Oberlichtenau,Chemnitz Kinderwaldstätte,0,0
Doberschütz,Eilenburg Ost,0,0
Weesenstein Gemeindeamt,Dresden-Zschachwitz,1,3
Schwarzenberg-Neuwelt,Schwarzenberg-Neuwelt,0,0
Kronach,Leipzig Hbf,0,4
Rödlitz-Hohndorf,Lichtenstein Hartensteiner Straße,0,0
Düsseldorf Hbf,Leipzig/Halle Flughafen,0,14
Kurort Oberwiesenthal,Annaberg-Buchholz Süd,1,9
Flöha-Plaue,Chemnitz Hbf,0,2
Zapfendorf,Leipzig Hbf,0,25
Beilrode,Torgau,0,0
Radeberg,Radeberg,0,0
Chemnitz-Hilbersdorf,Chemnitz-Hilbersdorf,0,0
Okmiany,Görlitz,0,10
Radebeul-Naundorf,Radebeul-Naundorf,0,0
Wuppertal Hbf,Leipzig/Halle Flughafen,0,12
Hainewalde Gemeindeamt,Zittau,0,1
Krumhermsdorf,Pirna-Copitz Nord,0,7
Hamburg-Altona,Leipzig Hbf,0,7
Gröbers,Schkeuditz West,0,1
Velky Senov,Dresden Hbf,1,11
Dippoldiswalde,Dippoldiswalde,0,0
Bülzig,Delitzsch unt Bf,0,10
Zabeltitz,Großenhain Cottb Bf,0,0
Tanndorf,Grimma ob Bf,0,1
Wilkau-Haßlau,Zwickau-Schedewitz,0,1
Jahnsdorf(Erzgeb),Stollberg Schlachthofstraße,0,2
Leer(Ostfriesl),Leipzig/Halle Flughafen,0,14
Friedewald(Kr Dresden)Hp,Lößnitzgrund,0,0
Bamberg,Leipzig Hbf,0,1
Rietschen,Weißwasser(Oberlausitz),0,0
Köttewitz,Dresden-Zschachwitz,1,2
Kuty,Dresden Hbf,0,6
Hopfgarten(Weimar),Leipzig-Miltitz,0,13
Gera Süd,Leipzig-Knauthain,0,8
Niederwartha,Radebeul-Naundorf Friedrich-List-Straße,0,0
Kwieciszowice,Görlitz,0,11
Chojnow,Görlitz,0,12
Boguszow Gorce Wsch.,Görlitz,0,25
Milkowice,Görlitz,0,13
Berbisdorf,Lößnitzgrund,0,5
Neumünster,Leipzig Hbf,0,7
Landsberg(b. Halle/Saale) Süd,Delitzsch unt Bf,0,2
Ottendorf-Okrilla Nord,Dresden-Klotzsche,0,5
Annaberg-Buchholz unterer Bf,Annaberg-Buchholz unterer Bf,0,0
Rabenau,Freital-Coßmannsdorf,0,0
Breitengüßbach,Leipzig Hbf,0,26
Dürrröhrsdorf,Pirna-Copitz Nord,0,1
Olbersdorf Niederdorf,Zittau Vorstadt,0,0
Wülknitz,Riesa,0,1
Holzhau,Freiberg(Sachs),0,10
Plesna(CZ),Oelsnitz(Vogtl),0,6
Leipzig-Thekla,Leipzig-Thekla,0,0
Großheringen,Leipzig Hbf,0,5
Linz Hbf,Leipzig Hbf,0,10
Horni Poustevna,Dresden Hbf,1,7
Ottendorf-Okrilla Hp,Dresden-Klotzsche,0,4
Uhyst,Hoyerswerda-Neustadt,0,1
Dresden Hbf (Strehlener Str.),Dresden Hbf (Strehlener Str.),0,0
Hannover Hbf,Leipzig/Halle Flughafen,0,4
Schöneck(Vogtl),Falkenstein(Vogtl),0,2
Hochstadt-Marktzeuln,Leipzig Hbf,0,20
Bily Kostel nad Nisou,Zittau,0,2
Breternitz,Leipzig Hbf,0,9
Pockau-Lengefeld,Chemnitz Hbf,0,10
Usti nad Labem hl.n.,Dresden Hbf,0,2
Spremberg,Weißwasser(Oberlausitz),0,1
Wolfen(Bitterfeld),Delitzsch unt Bf,0,1
Lichtenfels,Leipzig Hbf,0,5
Kurort Oybin-Niederdorf,Zittau Vorstadt,0,3
Chemnitz-Borna Hp,Chemnitz-Borna Hp,0,0
Chemnitz Altchemnitzer Straße,Chemnitz Altchemnitzer Straße,0,0
Stenn,Zwickau(Sachs)Hbf,0,0
Schwäbisch Gmünd,Leipzig Hbf,0,9
Eberswalde Hbf,Leipzig Hbf,0,4
Waldkirchen(Erzgeb),Chemnitz Hbf,0,6
Greifswald,Leipzig Hbf,0,10
Geising,Dresden-Zschachwitz,1,13
Bergen auf Rügen,Leipzig Hbf,0,12
Leipzig Markt,Leipzig Markt,0,0
Leipzig-Liebertwolkwitz,Leipzig-Liebertwolkwitz,0,0
Krölpa-Ranis,Leipzig-Knauthain,0,18
Triebes,Leipzig-Knauthain,0,13
Görlitz,Görlitz,0,0
Großdeuben,Markkleeberg-Gaschwitz,0,0
Leipzig Olbrichtstraße,Leipzig Olbrichtstraße,0,0
Angermünde,Leipzig Hbf,0,5
Chemnitz Uhlestraße,Chemnitz Uhlestraße,0,0
Wünschendorf,Plauen(Vogtl) Mitte,0,8
Ulbersdorf,Dresden Hbf,1,2
Porschdorf (Kr. Pirna)  Straße zum Bahnhof,Dresden Hbf,1,2
Pratau,Delitzsch unt Bf,0,7
Langenwolmsdorf,Pirna-Copitz Nord,0,5
Wetterzeube,Leipzig-Knauthain,0,4
Leubsdorf(Sachs),Chemnitz Hbf,0,5
Chemnitz Hbf,Chemnitz Hbf,0,0
Pirk,Oelsnitz(Vogtl),0,0
Dresden-Plauen,Dresden-Plauen,0,0
Bad Köstritz,Leipzig-Knauthain,0,6
Cunnertswalde,Lößnitzgrund,0,3
Chemnitz-Harthau,Chemnitz-Harthau,0,0
Wittgensdorf ob Bf,Chemnitz-Borna Hp,0,1
Leipzig-Lützschena,Leipzig-Lützschena,0,0
Essen Hbf,Leipzig/Halle Flughafen,0,12
Dolni Zleb,Dresden Hbf,1,2
Wolkenstein,Annaberg-Buchholz unterer Bf,0,2
Hude,Leipzig/Halle Flughafen,0,9
Leipzig-Rückmarsdorf,Leipzig-Rückmarsdorf,0,0
Zareba,Görlitz,0,4
Ortrand,Großenhain Cottb Bf,0,1
Otterwisch,Leipzig-Liebertwolkwitz,0,3
Lübs(Magdeburg),Delitzsch unt Bf,0,7
Voigtsgrün,Rodewisch,0,2
Unterneudorf,Annaberg-Buchholz Süd,1,2
Pulsnitz Süd,Radeberg,0,2
Regis-Breitingen,Markkleeberg,0,4
Rathmannsdorf(Kr Pirna),Dresden Hbf,1,1
Pfaffenhain,Stollberg Schlachthofstraße,0,1
Neuoelsnitz,Oelsnitz Bahnhofstraße,0,1
Dornburg(Saale),Leipzig Hbf,0,3
Redwitz(Rodach),Leipzig Hbf,0,19
Oberschlottwitz,Dresden-Zschachwitz,1,7
Passau Hbf,Leipzig Hbf,0,8
Ulbersdorf Almenhof,Dresden Hbf,1,3
Wien Hbf,Dresden Hbf,0,6
Niederwürschnitz,Stollberg Schlachthofstraße,0,0
Ostrau,Döbeln Hbf,0,1
Witzschdorf,Chemnitz Hbf,0,5
Sebnitz(Sachs),Pirna-Copitz Nord,0,8
Breclav,Dresden Hbf,0,5
Weimar,Leipzig Hbf,0,8
"Mehltheuer Schleizer Str., Rosenbach/Vogtl.",Plauen(Vogtl) ob Bf (Busbahnhof),0,1
Gotha,Leipzig Hbf,0,1
Bischheim-Gersdorf,Kamenz(Sachs),0,0
Olbernhau-Grünthal,Chemnitz Hbf,0,15
Zebrzydowa,Görlitz,0,7
Ruhland,Großenhain Cottb Bf,0,2
Nagymaros-Visegrad,Dresden Hbf,0,11
Großkorbetha,Leipzig-Miltitz,0,4
Kapfenberg,Dresden Hbf,0,11
Gröditz(Riesa),Riesa,0,3
Dessau Süd,Delitzsch unt Bf,0,3
Braunschweig Hbf,Leipzig/Halle Flughafen,0,3
Ebersbrunn,Zwickau(Sachs)Hbf,0,1
Niederpöllnitz,Leipzig-Knauthain,0,10
Oberrothenbach,Zwickau-Pölbitz,0,0
Heidenau,Dresden-Zschachwitz,0,0
Krippen,Pirna,0,5
Pirna-Copitz Nord,Pirna-Copitz Nord,0,0
Döbeln Hbf,Döbeln Hbf,0,0
Leipzig-Holzhausen,Leipzig-Holzhausen,0,0
Schmölln(Ol),Radeberg,0,2
Dresden-Stetzsch Am Urnenfeld,Dresden-Stetzsch Am Urnenfeld,0,0
Herford,Leipzig/Halle Flughafen,0,6
Heidenau Süd,Pirna,0,1
Kraslice-Pod vlekem,Falkenstein(Vogtl),1,6
München Hbf,Leipzig Hbf,0,3
Gößnitz,Crimmitschau,0,0
Delitzsch ob Bf,Delitzsch ob Bf,0,0
Stara Kamienica,Görlitz,0,12
Trzcinsko,Görlitz,0,17
Jößnitz,Plauen(Vogtl) ob Bf,0,0
Schweinsburg-Culten,Crimmitschau,0,0
Rodewisch,Rodewisch,0,0
Elsterberg,Plauen(Vogtl) Mitte,0,3
Niederschlag,Annaberg-Buchholz Süd,1,6
Weißenfels,Leipzig Hbf,0,0
Ulm Hbf,Leipzig Hbf,0,5
Hoyerswerda-Neustadt,Hoyerswerda-Neustadt,0,0
Kühren,Wurzen,0,0
Gersdorf(Görlitz),Reichenbach(Oberlausitz),0,0
Zwickau Zentrum,Zwickau Zentrum,0,0
Grimma ob Bf,Grimma ob Bf,0,0
Mühlacker,Leipzig Hbf,0,13
Kleinschirma,Freiberg(Sachs),0,0
Dresden Flughafen,Dresden Flughafen,0,0
Waren(Müritz),Dresden-Neustadt,0,5
Neuhausen(Cottbus),Weißwasser(Oberlausitz),0,3
Kürbitz,Plauen(Vogtl) Mitte,0,0
Breitendorf,Löbau(Sachs),0,0
Norddeich Mole,Leipzig/Halle Flughafen,0,19
Leipzig Allee-Center,Leipzig Allee-Center,0,0
Horka,Görlitz,0,1
Westerstede-Ocholt,Leipzig/Halle Flughafen,0,12
Nienburg(Weser),Leipzig/Halle Flughafen,0,5
Neugersdorf,Zittau,0,1
Dieskau,Schkeuditz West,0,2
Zagajnik,Görlitz,0,6
Karlsruhe Hbf,Leipzig Hbf,0,15
Sturovo,Dresden Hbf,0,9
Vac,Dresden Hbf,0,12
Kleinröhrsdorf,Radeberg,0,0
Lichtentanne(Sachs),Zwickau(Sachs)Hbf,0,0
Buschmühle,Dippoldiswalde,0,4
Malter,Dippoldiswalde,0,0
Riesa,Riesa,0,0
Spechtritz,Freital-Coßmannsdorf,0,1
Neusörnewitz,Coswig(b Dresden),0,0
Karlsruhe-Durlach,Leipzig Hbf,0,15
Erlau(Sachs),Mittweida,0,0
Köthen,Leipzig/Halle Flughafen,0,1
Radebeul Ost,Radebeul Ost,0,0
Jüterbog,Delitzsch unt Bf,0,14
Zittau Süd,Zittau Süd,0,0
Profen,Leipzig-Knauthain,0,2
Rehfeld(Falkenberg),Torgau,0,1
Dolni Poustevna,Dresden Hbf,1,6
Frankenberg(Sachs) Süd,Chemnitz-Hilbersdorf,0,2
Hohenfichte,Chemnitz Hbf,0,4
Calau(Nl),Torgau,0,4
Erla,Schwarzenberg Hp,0,0
Cranzahl,Annaberg-Buchholz Süd,0,1
Dresden-Neustadt,Dresden-Neustadt,0,0
Augustfehn,Leipzig/Halle Flughafen,0,13
Radebeul-Weintraube,Radebeul-Weintraube,0,0
Leipzig-Mölkau,Leipzig-Mölkau,0,0
Mosel,Glauchau-Schönbörnchen,0,0
Seifhennersdorf Zollstraße,Zittau,0,3
Adorf(Vogtl),Oelsnitz(Vogtl),0,1
Decin hl.n.,Dresden Hbf,0,1
Solingen Hbf,Leipzig/Halle Flughafen,0,13
Eibau,Zittau,0,4
Gera-Zwötzen,Plauen(Vogtl) Mitte,0,9
Wittgensdorf Mitte,Chemnitz-Borna Hp,0,0
Naunhof,Grimma ob Bf,0,1
Wilthen,Radeberg,0,3
Priestewitz,Großenhain Cottb Bf,0,0
Regensburg Hbf,Leipzig Hbf,0,5
Weesenstein,Dresden-Zschachwitz,1,3
Prödel,Delitzsch unt Bf,0,7
Kurort Kipsdorf,Dippoldiswalde,0,5
Halle Steintorbrücke,Schkeuditz West,0,5
Probstzella,Leipzig Hbf,0,11
Verden(Aller),Leipzig/Halle Flughafen,0,6
Osetnica,Görlitz,0,11
Laußnitz,Dresden-Klotzsche,0,6
Schkeuditz,Schkeuditz,0,0
Jelenia Gora Zabobrze,Görlitz,0,14
Doberlug-Kirchhain,Dresden-Neustadt,0,1
Wiener Neustadt Hbf,Dresden Hbf,0,8
Hamm(Westf)Hbf,Leipzig/Halle Flughafen,0,9
Greiz-Dölau,Plauen(Vogtl) Mitte,0,4
Machern(Sachs),Wurzen,0,2
Berthelsdorf(Erzgeb),Freiberg(Sachs),0,0
Ostseebad Binz,Leipzig Hbf,0,13
Halle(Saale)Hbf,Leipzig/Halle Flughafen,0,0
Steina,Döbeln Hbf,0,1
Neuses(b Kronach),Leipzig Hbf,0,17
Radis,Delitzsch unt Bf,0,5
Scharfenstein,Annaberg-Buchholz unterer Bf,0,4
Marke,Delitzsch unt Bf,0,4
Werdau Nord,Werdau Nord,0,0
Chemnitz Erdmannsdorfer Straße,Chemnitz Erdmannsdorfer Straße,0,0
Gerichshain,Leipzig-Engelsdorf,0,1
Lauchhammer,Hoyerswerda,0,4
Dresden-Dobritz,Dresden-Dobritz,0,0
Schwarzenberg Hp,Schwarzenberg Hp,0,0
Bielefeld Hbf,Leipzig/Halle Flughafen,0,7
Zwenkau-Großdalzig,Leipzig-Knauthain,0,0
Lengenfeld(Vogtl),Rodewisch,0,0
Pulsnitz,Kamenz(Sachs),0,1
Könitz(Thür),Leipzig-Knauthain,0,14
Emden Hbf,Leipzig/Halle Flughafen,0,15
Rudolstadt-Schwarza,Leipzig Hbf,0,7
Seebergen,Leipzig-Miltitz,0,16
Leipzig Bayerischer Bahnhof,Leipzig Bayerischer Bahnhof,0,0
Weinböhla Hp,Coswig(b Dresden),0,0
Erdmannsdorf-Augustusburg,Chemnitz Hbf,0,3
Leipzig Karlsruher Str,Leipzig Karlsruher Str,0,0
Irfersgrün,Rodewisch,0,1
Tharandt,Freital-Hainsberg West,0,0
Uelzen,Leipzig Hbf,0,6
Annaberg-Buchholz Süd,Annaberg-Buchholz Süd,0,0
Seerhausen,Riesa,0,0
Böhlen(Leipzig),Markkleeberg,0,0
Zwota,Falkenstein(Vogtl),1,4
Lutherstadt Wittenberg Hbf,Leipzig Hbf,0,0
Kurort Jonsdorf,Zittau Vorstadt,0,4
Wiesenburg(Sachs),Bad Schlema,0,2
Petershain,Niesky,0,0
Cheb,Oelsnitz(Vogtl),0,11
Aue(Sachs),Aue(Sachs),0,0
Unterwellenborn,Leipzig-Knauthain,0,14
Elsterberg-Kunstseidenwerk,Plauen(Vogtl) Mitte,0,2
Freital-Coßmannsdorf,Freital-Coßmannsdorf,0,0
Klingenthal,Falkenstein(Vogtl),1,5
Lauterbach-Steinbach,Leipzig-Liebertwolkwitz,0,4
Holzhau Skilift,Freiberg(Sachs),0,9
Westewitz-Hochweitzschen,Döbeln Hbf,0,0
Großbothen,Grimma ob Bf,0,0
Dresden-Kemnitz Zschonergrundstraße,Dresden-Kemnitz Zschonergrundstraße,0,0
Ottendorf-Okrilla Süd,Dresden-Klotzsche,0,3
Krensitz,Delitzsch ob Bf,0,1
Hirschaid,Leipzig Hbf,0,28
Floßmühle,Chemnitz Hbf,0,7
Amtshainersdorf,Dresden Hbf,1,4
Vojtanov,Oelsnitz(Vogtl),0,7
Coswig(b Dresden),Coswig(b Dresden),0,0
Petersroda,Delitzsch unt Bf,0,0
Grünhainichen-Borstendorf,Chemnitz Hbf,0,6
Tiefenau,Riesa,0,2
Zgorzelec,Görlitz,0,0
Mlynsko,Görlitz,0,9
Hradek nad Nisou,Zittau,0,0
Lichtenstein Gewerbegebiet,Lichtenstein Gewerbegebiet,0,0
Decin-Prostredni Zleb,Dresden Hbf,1,3
Küps,Leipzig Hbf,0,18
Prösen,Riesa,0,4
Wurzen,Wurzen,0,0
Chemnitz Stadlerplatz,Chemnitz Stadlerplatz,0,0
Velky Senov zast.,Dresden Hbf,1,12
Plauen(Vogtl)West,Plauen(Vogtl)West,0,0
Chemnitz Bruno-Salzer-Straße,Chemnitz Bruno-Salzer-Straße,0,0
