station,target,changes,stops,route_score,route_score_scaled
Warmbad,Annaberg-Buchholz unterer Bf,0,3,0.25,0.22413793103448276
Weida Mitte,Leipzig-Knauthain,0,11,0.08333333333333333,0.05172413793103449
Hirschfelde Markt,Zittau,0,0,1.0,1.0
Stadt Wehlen(Sachs),Pirna,0,1,0.5,0.4827586206896552
Saalfeld(Saale),Leipzig Hbf,0,3,0.25,0.22413793103448276
Wien Meidling,Dresden Hbf,0,7,0.125,0.09482758620689656
Falkenau(Sachs)Süd,Chemnitz-Hilbersdorf,0,2,0.3333333333333333,0.3103448275862069
Mikulasovice dolni nadrazi,Dresden Hbf,1,9,0.06666666666666667,0.034482758620689655
Niederschlottwitz,Dresden-Zschachwitz,1,6,0.08333333333333333,0.05172413793103449
Cottbus Hbf,Weißwasser(Oberlausitz),0,4,0.2,0.1724137931034483
Kaulsdorf(Saale),Leipzig Hbf,0,9,0.1,0.06896551724137932
Rodleben,Delitzsch unt Bf,0,4,0.2,0.1724137931034483
Jena Saalbf,Leipzig Hbf,0,4,0.2,0.1724137931034483
Jeßnitz(Anh),Delitzsch unt Bf,0,2,0.3333333333333333,0.3103448275862069
Stollberg(Sachs),Stollberg(Sachs),0,0,1.0,1.0
Dresden Hbf,Dresden Hbf,0,0,1.0,1.0
Ellwangen,Leipzig Hbf,0,7,0.125,0.09482758620689656
Eilenburg,Eilenburg,0,0,1.0,1.0
Sättelstädt,Leipzig-Miltitz,0,20,0.047619047619047616,0.014778325123152712
Bad Sulza,Leipzig Hbf,0,6,0.14285714285714285,0.11330049261083745
Zwickau(Sachs)Hbf,Zwickau(Sachs)Hbf,0,0,1.0,1.0
Dresden-Stetzsch,Dresden-Stetzsch,0,0,1.0,1.0
Oelsnitz(Vogtl),Oelsnitz(Vogtl),0,0,1.0,1.0
Halle Dessauer Brücke,Schkeuditz West,0,6,0.14285714285714285,0.11330049261083745
Gera Hbf,Glauchau(Sachs),0,0,1.0,1.0
Mittweida,Mittweida,0,0,1.0,1.0
Wutha,Leipzig-Miltitz,0,22,0.043478260869565216,0.01049475262368816
Bad Zwischenahn,Leipzig/Halle Flughafen,0,11,0.08333333333333333,0.05172413793103449
Jerzmanki,Görlitz,0,1,0.5,0.4827586206896552
Dresden Bischofsplatz,Dresden Bischofsplatz,0,0,1.0,1.0
Emden Außenhafen,Leipzig/Halle Flughafen,0,16,0.058823529411764705,0.026369168356997978
Zwota-Zechenbach,Falkenstein(Vogtl),1,5,0.09090909090909091,0.059561128526645774
Flöha,Chemnitz Hbf,0,0,1.0,1.0
Wünschendorf Nord,Plauen(Vogtl) Mitte,0,9,0.1,0.06896551724137932
Dresden Mitte,Dresden Mitte,0,0,1.0,1.0
Chemnitz Mitte,Chemnitz Mitte,0,0,1.0,1.0
Hainichen,Chemnitz-Hilbersdorf,0,5,0.16666666666666666,0.13793103448275862
Helmstedt,Leipzig/Halle Flughafen,0,3,0.25,0.22413793103448276
Bischofswerda,Bautzen,0,0,1.0,1.0
Leipzig Miltitzer Allee,Leipzig Miltitzer Allee,0,0,1.0,1.0
Neumühle(Elster),Plauen(Vogtl) Mitte,0,6,0.14285714285714285,0.11330049261083745
Limmritz(Sachs),Döbeln Hbf,0,0,1.0,1.0
Nürnberg Hbf,Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Niesky,Niesky,0,0,1.0,1.0
Chemnitz Schneeberger Straße,Chemnitz Schneeberger Straße,0,0,1.0,1.0
Thermalbad Wiesenbad,Annaberg-Buchholz unterer Bf,0,1,0.5,0.4827586206896552
Burgstädt,Chemnitz Hbf,0,0,1.0,1.0
Vaihingen(Enz),Leipzig Hbf,0,12,0.07692307692307693,0.04509283819628648
Leipzig-Sellerhausen,Leipzig-Sellerhausen,0,0,1.0,1.0
Dresden-Friedrichstadt,Dresden-Friedrichstadt,0,0,1.0,1.0
Bärnsdorf,Lößnitzgrund,0,4,0.2,0.1724137931034483
Neustadt(Sachs),Pirna-Copitz Nord,0,6,0.14285714285714285,0.11330049261083745
Markkleeberg-Gaschwitz,Markkleeberg-Gaschwitz,0,0,1.0,1.0
Gryfow Sl.,Görlitz,0,8,0.1111111111111111,0.08045977011494253
Bergwitz,Delitzsch unt Bf,0,6,0.14285714285714285,0.11330049261083745
Ebing,Leipzig Hbf,0,26,0.037037037037037035,0.0038314176245210704
Markkleeberg-Großstädteln,Markkleeberg-Großstädteln,0,0,1.0,1.0
Crossen a d Elster,Leipzig-Knauthain,0,6,0.14285714285714285,0.11330049261083745
Zoblitz,Löbau(Sachs),0,0,1.0,1.0
Leipzig Völkerschlachtdenkmal,Leipzig Völkerschlachtdenkmal,0,0,1.0,1.0
Leipzig MDR,Leipzig MDR,0,0,1.0,1.0
Finsterwalde(Niederlausitz),Torgau,0,3,0.25,0.22413793103448276
Dittersbach,Chemnitz-Hilbersdorf,0,4,0.2,0.1724137931034483
Burgkemnitz,Delitzsch unt Bf,0,3,0.25,0.22413793103448276
Geithain,Leipzig Hbf,0,1,0.5,0.4827586206896552
Chemnitz Schillerplatz,Chemnitz Schillerplatz,0,0,1.0,1.0
Peißen,Delitzsch unt Bf,0,4,0.2,0.1724137931034483
Freital-Hainsberg,Freital-Hainsberg,0,0,1.0,1.0
Hartmannmühle,Dresden-Zschachwitz,1,12,0.05555555555555555,0.022988505747126436
Jesewitz(Leipzig),Eilenburg,0,0,1.0,1.0
Goßdorf-Kohlmühle,Dresden Hbf,1,3,0.1111111111111111,0.08045977011494253
Leipzig-Möckern,Leipzig-Möckern,0,0,1.0,1.0
Krzewina Zgorzelecka,Görlitz-Weinhübel,0,1,0.5,0.4827586206896552
Dolni Zleb zast.,Dresden Hbf,1,3,0.1111111111111111,0.08045977011494253
Kurort Rathen,Pirna,0,2,0.3333333333333333,0.3103448275862069
Chemnitz Süd,Chemnitz Süd,0,0,1.0,1.0
Porstendorf,Leipzig Hbf,0,4,0.2,0.1724137931034483
Köln Hbf,Leipzig/Halle Flughafen,0,14,0.06666666666666667,0.034482758620689655
Zirovice-Seniky,Oelsnitz(Vogtl),0,8,0.1111111111111111,0.08045977011494253
Tautenhain,Leipzig-Liebertwolkwitz,0,7,0.125,0.09482758620689656
Erlangen,Leipzig Hbf,0,1,0.5,0.4827586206896552
Prösen Ost,Großenhain Cottb Bf,0,2,0.3333333333333333,0.3103448275862069
Triptis,Leipzig-Knauthain,0,11,0.08333333333333333,0.05172413793103449
Pößneck ob Bf,Leipzig-Knauthain,0,13,0.07142857142857142,0.0394088669950739
Weixdorf Bad,Dresden-Klotzsche,0,0,1.0,1.0
Plauen(Vogtl) ob Bf (Busbahnhof),Plauen(Vogtl) ob Bf (Busbahnhof),0,0,1.0,1.0
Chemnitz Hbf (Bahnhofstraße),Chemnitz Hbf (Bahnhofstraße),0,0,1.0,1.0
Plauen(Vogtl) Mitte,Plauen(Vogtl) Mitte,0,0,1.0,1.0
Bagenz,Weißwasser(Oberlausitz),0,2,0.3333333333333333,0.3103448275862069
Anklam,Leipzig Hbf,0,8,0.1111111111111111,0.08045977011494253
Königsbrück,Dresden-Klotzsche,0,7,0.125,0.09482758620689656
Würzburg Hbf,Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Clausnitz,Freiberg(Sachs),0,5,0.16666666666666666,0.13793103448275862
Muldenstein,Delitzsch unt Bf,0,2,0.3333333333333333,0.3103448275862069
Antonsthal,Schwarzenberg Hp,0,1,0.5,0.4827586206896552
Leipzig-Knauthain,Leipzig-Knauthain,0,0,1.0,1.0
Neumark(Sachs),Reichenbach(Vogtl) ob Bf,0,0,1.0,1.0
Olszyna Lubanska,Görlitz,0,6,0.14285714285714285,0.11330049261083745
Nove Zamky,Dresden Hbf,0,8,0.1111111111111111,0.08045977011494253
Obercarsdorf,Dippoldiswalde,0,1,0.5,0.4827586206896552
Neusalza-Spremberg,Zittau,0,3,0.25,0.22413793103448276
Michelau(Oberfr),Leipzig Hbf,0,21,0.045454545454545456,0.01253918495297806
Zahna,Delitzsch unt Bf,0,11,0.08333333333333333,0.05172413793103449
Berga(Elster),Plauen(Vogtl) Mitte,0,7,0.125,0.09482758620689656
Halle Zoo,Schkeuditz West,0,7,0.125,0.09482758620689656
Markkleeberg,Markkleeberg,0,0,1.0,1.0
Großkugel,Schkeuditz West,0,0,1.0,1.0
Oßmannstedt,Leipzig-Miltitz,0,12,0.07692307692307693,0.04509283819628648
Frohburg,Borna(Leipzig),0,2,0.3333333333333333,0.3103448275862069
Kötzschau,Leipzig-Miltitz,0,2,0.3333333333333333,0.3103448275862069
Falkenau(Sachs)Hp,Chemnitz Hbf,0,2,0.3333333333333333,0.3103448275862069
Elsterwerda,Dresden-Neustadt,0,0,1.0,1.0
Chemnitz-Schönau,Chemnitz-Schönau,0,0,1.0,1.0
Vieselbach,Leipzig-Miltitz,0,13,0.07142857142857142,0.0394088669950739
Lichtenstein Hartensteiner Straße,Lichtenstein Hartensteiner Straße,0,0,1.0,1.0
Boleslawiec,Görlitz,0,8,0.1111111111111111,0.08045977011494253
Lauter(Sachs),Schwarzenberg-Neuwelt,0,0,1.0,1.0
Lehndorf(Altenburg),Crimmitschau,0,2,0.3333333333333333,0.3103448275862069
Hennersdorf(Sachs),Chemnitz Hbf,0,4,0.2,0.1724137931034483
Schirgiswalde-Kirschau,Radeberg,0,4,0.2,0.1724137931034483
Borna(Leipzig),Borna(Leipzig),0,0,1.0,1.0
Uhsmannsdorf,Weißwasser(Oberlausitz),0,2,0.3333333333333333,0.3103448275862069
Ubocze,Görlitz,0,7,0.125,0.09482758620689656
Chotyne,Zittau,0,1,0.5,0.4827586206896552
Fulda,Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Lengefeld-Rauenstein,Chemnitz Hbf,0,9,0.1,0.06896551724137932
Mulda(Sachs),Freiberg(Sachs),0,3,0.25,0.22413793103448276
Schüptitz,Leipzig-Knauthain,0,13,0.07142857142857142,0.0394088669950739
Niederoderwitz,Zittau,0,1,0.5,0.4827586206896552
Schmiedeberg-Naundorf,Dippoldiswalde,0,2,0.3333333333333333,0.3103448275862069
Varnsdorf mlékárna,Zittau,0,2,0.3333333333333333,0.3103448275862069
Ingolstadt Hbf,Leipzig Hbf,0,3,0.25,0.22413793103448276
Stollberg Schlachthofstraße,Stollberg Schlachthofstraße,0,0,1.0,1.0
Apolda,Leipzig Hbf,0,7,0.125,0.09482758620689656
Dresden Grenzstraße,Dresden Grenzstraße,0,0,1.0,1.0
Dresden Freiberger Straße,Dresden Freiberger Straße,0,0,1.0,1.0
Borsdorf(Sachs),Leipzig-Engelsdorf,0,0,1.0,1.0
Prösen West,Riesa,0,3,0.25,0.22413793103448276
Leipzig-Paunsdorf,Leipzig-Paunsdorf,0,0,1.0,1.0
Hoyerswerda,Hoyerswerda,0,0,1.0,1.0
Leipzig Mockauer Straße,Leipzig Mockauer Straße,0,0,1.0,1.0
Heidenau-Großsedlitz,Pirna,0,0,1.0,1.0
Halle Messe,Schkeuditz West,0,3,0.25,0.22413793103448276
Großharthau,Radeberg,0,1,0.5,0.4827586206896552
Leipzig/Halle Flughafen,Leipzig/Halle Flughafen,0,0,1.0,1.0
Seifersdorf,Dippoldiswalde,0,1,0.5,0.4827586206896552
Szob,Dresden Hbf,0,10,0.09090909090909091,0.059561128526645774
Dessau Hbf,Delitzsch unt Bf,0,2,0.3333333333333333,0.3103448275862069
Lobstädt,Borna(Leipzig),0,0,1.0,1.0
Mechterstädt,Leipzig-Miltitz,0,19,0.05,0.017241379310344834
Neumark(Sachs) Ladestraße,Werdau,0,0,1.0,1.0
Böhlen Werke,Markkleeberg,0,1,0.5,0.4827586206896552
Schweikershain,Mittweida,0,1,0.5,0.4827586206896552
Leipzig-Heiterblick,Leipzig-Heiterblick,0,0,1.0,1.0
Friedewald(Kr Dresden) Bad,Lößnitzgrund,0,1,0.5,0.4827586206896552
Forchheim(Oberfr),Leipzig Hbf,0,29,0.03333333333333333,0.0
Naumburg(Saale)Hbf,Leipzig Hbf,0,0,1.0,1.0
Mikulowa,Görlitz,0,2,0.3333333333333333,0.3103448275862069
Jedrzychowice,Görlitz,0,2,0.3333333333333333,0.3103448275862069
Neupetershain,Großenhain Cottb Bf,0,5,0.16666666666666666,0.13793103448275862
Großsteinberg,Grimma ob Bf,0,0,1.0,1.0
Stolpen,Pirna-Copitz Nord,0,3,0.25,0.22413793103448276
Oederan,Freiberg(Sachs),0,2,0.3333333333333333,0.3103448275862069
Bennewitz,Wurzen,0,0,1.0,1.0
Fröttstädt,Leipzig-Miltitz,0,18,0.05263157894736842,0.019963702359346643
Bad Staffelstein,Leipzig Hbf,0,23,0.041666666666666664,0.008620689655172417
Oberoderwitz Oberdorf,Zittau,0,3,0.25,0.22413793103448276
Leipzig Essener Straße,Leipzig Essener Straße,0,0,1.0,1.0
Augsburg Hbf,Leipzig Hbf,0,5,0.16666666666666666,0.13793103448275862
Kahla(Thür),Leipzig Hbf,0,5,0.16666666666666666,0.13793103448275862
Grünbach(Vogtl),Falkenstein(Vogtl),0,0,1.0,1.0
Ponitz,Crimmitschau,0,0,1.0,1.0
Stendal Hbf,Leipzig Hbf,0,3,0.25,0.22413793103448276
Neudorf(Erzgeb),Annaberg-Buchholz Süd,1,3,0.1111111111111111,0.08045977011494253
Bochum Hbf,Leipzig/Halle Flughafen,0,11,0.08333333333333333,0.05172413793103449
Greppin,Delitzsch unt Bf,0,1,0.5,0.4827586206896552
Lippendorf Kraftwerk/Wendestelle,Borna(Leipzig),0,2,0.3333333333333333,0.3103448275862069
Berlin-Spandau,Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Neustrelitz Hbf,Dresden-Neustadt,0,4,0.2,0.1724137931034483
Freital-Potschappel,Freital-Potschappel,0,0,1.0,1.0
Limbach(Vogtl),Reichenbach(Vogtl) ob Bf,0,1,0.5,0.4827586206896552
Ansbach,Leipzig Hbf,0,5,0.16666666666666666,0.13793103448275862
