station,n_departures,departures_scaled,departures_ratio
Dresden Grenzstraße,78,0.12071778140293639,3.25
Dresden Industriegelände,198,0.3164763458401305,8.25
Dresden-Cotta,41,0.06035889070146819,1.7083333333333333
Dresden-Dobritz,174,0.27732463295269166,7.25
Dresden-Kemnitz,38,0.05546492659053834,1.5833333333333333
Dresden-Niedersedlitz,174,0.27732463295269166,7.25
Dresden-Pieschen,108,0.1696574225122349,4.5
Dresden-Reick,174,0.27732463295269166,7.25
Dresden-Stetzsch,38,0.05546492659053834,1.5833333333333333
Dresden-Strehlen,174,0.27732463295269166,7.25
Dresden-Trachau,108,0.1696574225122349,4.5
Dresden-Zschachwitz,174,0.27732463295269166,7.25
Dresden Freiberger Straße,186,0.2969004893964111,7.75
Ebersbrunn,32,0.04567699836867863,1.3333333333333333
Edle Krone,54,0.08156606851549755,2.25
Ellefeld,32,0.04567699836867863,1.3333333333333333
Elsterberg,25,0.03425774877650897,1.0416666666666667
Elsterberg-Kunstseidenwerk,25,0.03425774877650897,1.0416666666666667
Leipzig-Engelsdorf,174,0.27732463295269166,7.25
Leipzig Werkstättenstraße,34,0.048939641109298535,1.4166666666666667
Erlau(Sachs),38,0.05546492659053834,1.5833333333333333
Falkenau(Sachs)Süd,40,0.05872756933115825,1.6666666666666667
Frankenberg(Sachs),36,0.052202283849918436,1.5
Frankenberg(Sachs) Süd,36,0.052202283849918436,1.5
Frankenstein(Sachs),40,0.05872756933115825,1.6666666666666667
Frauenhain,24,0.032626427406199025,1.0
Freital-Deuben,82,0.12724306688417616,3.4166666666666665
Freital-Hainsberg West,82,0.12724306688417616,3.4166666666666665
Frohburg,39,0.05709624796084829,1.625
Markkleeberg-Gaschwitz,153,0.24306688417618272,6.375
Geising,36,0.052202283849918436,1.5
Gerichshain,76,0.11745513866231648,3.1666666666666665
Gersdorf(Görlitz),37,0.05383360522022839,1.5416666666666667
Glashütte(Sachs),36,0.052202283849918436,1.5
Glaubitz(Riesa),40,0.05872756933115825,1.6666666666666667
Görlitz-Weinhübel,37,0.05383360522022839,1.5416666666666667
Goßdorf-Kohlmühle,33,0.04730831973898859,1.375
Grimma ob Bf,58,0.08809135399673736,2.4166666666666665
Grobau,4,0.0,0.16666666666666666
Gröditz(Riesa),30,0.04241435562805873,1.25
Großdeuben,80,0.1239804241435563,3.3333333333333335
Großenhain Cottb Bf,61,0.09298531810766722,2.5416666666666665
Großharthau,45,0.06688417618270799,1.875
Großlehna,41,0.06035889070146819,1.7083333333333333
Großpösna,34,0.048939641109298535,1.4166666666666667
Großröhrsdorf,40,0.05872756933115825,1.6666666666666667
Großschönau(Sachs),32,0.04567699836867863,1.3333333333333333
Großsteinberg,58,0.08809135399673736,2.4166666666666665
Grüna(Sachs)Hp,52,0.07830342577487766,2.1666666666666665
Leipzig Grünauer Allee,82,0.12724306688417616,3.4166666666666665
Grünbach(Vogtl),33,0.04730831973898859,1.375
Gutenfürst,19,0.024469820554649267,0.7916666666666666
Hähnichen,41,0.06035889070146819,1.7083333333333333
Hagenwerder,39,0.05709624796084829,1.625
Hainewalde,22,0.029363784665579123,0.9166666666666666
Hainichen,36,0.052202283849918436,1.5
Hartmannmühle,36,0.052202283849918436,1.5
Heidenau Süd,174,0.27732463295269166,7.25
Heidenau-Großsedlitz,174,0.27732463295269166,7.25
Helmsdorf(Pirna),34,0.048939641109298535,1.4166666666666667
Hermsdorf(Dresden),36,0.052202283849918436,1.5
Hirschfelde,37,0.05383360522022839,1.5416666666666667
Hohenroda,29,0.040783034257748776,1.2083333333333333
Hohenstein-Ernstthal,86,0.13376835236541598,3.5833333333333335
Holzhau,16,0.019575856443719414,0.6666666666666666
Leipzig-Holzhausen,34,0.048939641109298535,1.4166666666666667
Hopfgarten(Sachs),34,0.048939641109298535,1.4166666666666667
Hoyerswerda-Neustadt,22,0.029363784665579123,0.9166666666666666
Hundsgrün,34,0.048939641109298535,1.4166666666666667
Irfersgrün,32,0.04567699836867863,1.3333333333333333
Jesewitz(Leipzig),66,0.10114192495921698,2.75
Jocketa,65,0.09951060358890702,2.7083333333333335
Jößnitz,65,0.09951060358890702,2.7083333333333335
Chemnitz Kinderwaldstätte,41,0.06035889070146819,1.7083333333333333
Chemnitz Mitte,52,0.07830342577487766,2.1666666666666665
Chemnitz-Borna Hp,38,0.05546492659053834,1.5833333333333333
Chemnitz-Schönau,52,0.07830342577487766,2.1666666666666665
Chemnitz-Siegmar,52,0.07830342577487766,2.1666666666666665
Kämmereiforst,29,0.040783034257748776,1.2083333333333333
Kamenz(Sachs),40,0.05872756933115825,1.6666666666666667
Kleinröhrsdorf,40,0.05872756933115825,1.6666666666666667
Kleinschirma,40,0.05872756933115825,1.6666666666666667
Klingenberg-Colmnitz,54,0.08156606851549755,2.25
Klingenthal,33,0.04730831973898859,1.375
Klitschmar,29,0.040783034257748776,1.2083333333333333
Klitten,22,0.029363784665579123,0.9166666666666666
Klosterbuch,34,0.048939641109298535,1.4166666666666667
Kodersdorf,63,0.09624796084828711,2.625
Königsbrück,36,0.052202283849918436,1.5
Königstein(Sächs Schw),78,0.12071778140293639,3.25
Köttewitz,36,0.052202283849918436,1.5
Krensitz,29,0.040783034257748776,1.2083333333333333
Krippen,57,0.08646003262642742,2.375
Krumhermsdorf,25,0.03425774877650897,1.0416666666666667
Kubschütz,37,0.05383360522022839,1.5416666666666667
Kühren,44,0.06525285481239805,1.8333333333333333
Kurort Rathen,78,0.12071778140293639,3.25
Kyhna,29,0.040783034257748776,1.2083333333333333
Lampertswalde,34,0.048939641109298535,1.4166666666666667
Langebrück(Sachs),86,0.13376835236541598,3.5833333333333335
Langenwolmsdorf,34,0.048939641109298535,1.4166666666666667
Langenwolmsdorf Mitte,34,0.048939641109298535,1.4166666666666667
Lauenstein(Sachs),36,0.052202283849918436,1.5
Laußnitz,36,0.052202283849918436,1.5
Lauta(Nl),35,0.05057096247960849,1.4583333333333333
Lauterbach-Steinbach,34,0.048939641109298535,1.4166666666666667
Leipzig Olbrichtstraße,100,0.1566068515497553,4.166666666666667
Leipzig/Halle Flughafen,100,0.1566068515497553,4.166666666666667
Leipzig Bayerischer Bahnhof,474,0.7667210440456771,19.75
